state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
2,156,2,0,0,0,189.4,114,32.2,145.7,96,12.38,192.8,121,8.68,4.5,13,1.22,0
44,139,2,0,0,0,258.7,94,43.98,190.3,132,16.18,247.2,73,11.12,11.4,2,3.08,1
24,115,0,0,0,0,80.8,81,13.74,195.7,91,16.63,190.1,66,8.55,11.7,6,3.16,1
3,94,0,0,0,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4
33,134,0,0,0,0,177.1,120,30.11,218.1,123,18.54,183.8,93,8.27,12.7,5,3.43,3
14,129,1,0,0,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2
31,136,0,0,1,27,187.7,84,31.91,221.0,147,18.79,145.7,110,6.56,10.0,4,2.7,3
9,105,1,0,0,0,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2
23,53,1,0,1,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3
47,166,0,0,0,0,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0
44,100,0,0,0,0,185.0,122,31.45,182.5,92,15.51,274.9,92,12.37,5.1,8,1.38,1
50,65,1,0,1,21,135.1,120,22.97,238.4,90,20.26,286.4,93,12.89,11.0,9,2.97,4
49,172,1,0,0,0,211.7,100,35.99,198.7,101,16.89,301.7,136,13.58,6.5,9,1.76,1
24,95,1,1,0,0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1
5,60,0,0,0,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3
13,95,1,0,1,32,247.0,109,41.99,125.6,91,10.68,226.5,90,10.19,10.5,4,2.84,3
21,157,0,0,1,27,201.4,85,34.24,101.3,60,8.61,258.5,113,11.63,11.9,5,3.21,2
45,117,0,0,0,0,97.1,98,16.51,228.0,131,19.38,240.0,111,10.8,10.6,3,2.86,1
23,116,0,0,0,0,197.9,84,33.64,168.1,113,14.29,239.8,145,10.79,12.0,6,3.24,1
45,102,0,0,0,0,156.5,67,26.61,204.3,103,17.37,141.9,72,6.39,9.9,2,2.67,2
0,127,2,0,1,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1
13,43,1,0,0,0,253.6,110,43.11,253.3,92,21.53,161.3,103,7.26,10.2,3,2.75,3
2,5,1,0,0,0,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3
10,120,2,0,0,0,147.7,101,25.11,144.1,71,12.25,237.0,115,10.67,11.1,5,3.0,0
33,87,2,0,1,39,82.6,113,14.04,224.4,63,19.07,163.6,88,7.36,9.5,1,2.57,3
32,113,2,0,0,0,150.1,120,25.52,200.1,85,17.01,266.7,105,12.0,11.0,3,2.97,2
22,102,0,0,0,0,167.1,80,28.41,222.9,94,18.95,179.9,103,8.1,11.6,3,3.13,5
37,45,1,0,1,32,235.0,85,39.95,240.5,101,20.44,147.1,88,6.62,7.7,3,2.08,2
11,141,2,0,0,0,138.2,94,23.49,176.4,84,14.99,182.9,110,8.23,11.1,6,3.0,3
30,79,0,0,1,30,124.8,99,21.22,207.6,142,17.65,175.0,95,7.88,4.6,3,1.24,1
20,104,1,0,0,0,153.7,86,26.13,160.3,78,13.63,176.6,140,7.95,9.6,8,2.59,1
43,51,1,0,0,0,180.5,88,30.69,134.7,102,11.45,170.7,97,7.68,10.0,3,2.7,2
45,77,2,0,0,0,144.9,136,24.63,151.3,115,12.86,252.4,73,11.36,12.3,3,3.32,2
3,100,1,0,0,0,188.5,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,2
29,85,1,0,0,0,259.8,85,44.17,242.3,117,20.6,168.8,72,7.6,5.4,1,1.46,0
26,58,2,0,1,29,240.4,80,40.87,118.9,91,10.11,164.2,108,7.39,11.2,3,3.02,1
49,145,1,0,0,0,129.4,97,22.0,185.4,101,15.76,204.7,106,9.21,1.1,2,0.3,2
2,115,1,0,0,0,139.3,89,23.68,192.3,95,16.35,151.0,75,6.8,9.3,3,2.51,7
32,96,1,0,1,33,183.3,115,31.16,201.4,87,17.12,177.4,84,7.98,10.4,15,2.81,3
36,96,1,0,0,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5
46,162,2,0,0,0,220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1
46,95,2,1,1,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5
48,70,1,0,0,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0
0,112,2,0,0,0,172.7,112,29.36,244.5,83,20.78,242.3,68,10.9,4.1,1,1.11,0
35,134,0,0,0,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0
29,64,2,0,0,0,219.2,73,37.26,167.0,65,14.2,161.4,119,7.26,10.0,5,2.7,1
31,95,0,1,1,37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0
31,94,1,0,0,0,145.4,92,24.72,172.8,103,14.69,183.9,43,8.28,9.3,3,2.51,2
23,62,2,0,1,33,186.4,84,31.69,201.0,136,17.09,286.7,103,12.9,11.1,3,3.0,2
32,69,1,0,0,0,111.3,110,18.92,226.8,107,19.28,187.6,66,8.44,10.2,12,2.75,1
39,101,0,1,1,35,181.0,88,30.77,222.5,113,18.91,217.8,103,9.8,11.1,3,3.0,1
23,125,1,0,0,0,240.7,82,40.92,269.4,85,22.9,187.1,74,8.42,10.1,3,2.73,0
45,99,0,0,0,0,130.4,121,22.17,219.9,103,18.69,84.1,85,3.78,9.8,3,2.65,2
43,48,2,0,0,0,198.2,108,33.69,181.0,70,15.39,238.9,86,10.75,12.1,2,3.27,1
33,7,0,0,1,30,221.4,114,37.64,165.8,116,14.09,247.0,105,11.12,10.8,12,2.92,1
2,100,2,0,0,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2
19,66,1,0,0,0,116.4,98,19.79,95.6,74,8.13,181.5,94,8.17,10.5,3,2.84,3
49,142,1,0,0,0,243.4,76,41.38,161.4,102,13.72,120.5,105,5.42,10.0,5,2.7,4
14,58,1,1,1,43,142.8,96,24.28,272.3,100,23.15,193.4,105,8.7,8.9,4,2.4,1
25,193,1,0,0,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1
36,101,0,0,0,0,209.6,107,35.63,228.8,96,19.45,172.4,85,7.76,7.6,2,2.05,3
41,144,0,0,1,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2
33,110,0,0,1,34,192.3,114,32.69,129.3,114,10.99,136.3,102,6.13,6.3,12,1.7,1
44,170,1,0,0,0,285.7,44,48.57,167.5,144,14.24,260.0,97,11.7,8.7,4,2.35,1
16,24,2,0,0,0,243.0,91,41.31,183.9,77,15.63,184.3,109,8.29,15.3,6,4.13,0
31,93,2,1,1,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,3.78,1
32,111,1,0,0,0,132.6,125,22.54,221.1,67,18.79,127.9,101,5.76,12.7,2,3.43,4
13,68,2,0,1,30,122.9,93,20.89,233.5,91,19.85,199.5,144,8.98,9.6,2,2.59,2
1,92,0,0,0,0,185.8,61,31.59,118.1,131,10.04,257.5,70,11.59,11.8,4,3.19,1
44,78,1,0,0,0,193.1,85,32.83,172.1,105,14.63,129.6,119,5.83,10.2,1,2.75,0
36,35,1,0,0,0,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2
13,72,1,1,0,0,101.0,110,17.17,240.0,70,20.4,333.5,105,15.01,11.1,6,3.0,0
28,147,0,0,0,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1
37,61,1,0,0,0,234.2,76,39.81,216.7,108,18.42,130.6,122,5.88,13.9,2,3.75,1
42,110,2,0,0,0,220.9,100,37.55,279.6,76,23.77,239.8,107,10.79,13.5,9,3.65,1
16,131,1,0,1,28,249.6,87,42.43,227.2,138,19.31,239.9,92,10.8,7.6,3,2.05,3
48,72,0,0,0,0,179.9,113,30.58,149.8,112,12.73,168.2,79,7.57,9.8,7,2.65,2
8,50,2,0,1,39,147.3,75,25.04,244.8,74,20.81,216.9,101,9.76,13.2,3,3.56,2
49,120,2,0,0,0,192.6,123,32.74,206.4,105,17.54,283.2,93,12.74,10.8,3,2.92,1
13,110,1,0,0,0,170.1,87,28.92,216.6,98,18.41,225.0,88,10.13,10.8,3,2.92,2
23,30,0,0,0,0,112.9,81,19.19,224.8,68,19.11,188.4,122,8.48,11.3,7,3.05,4
36,57,0,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0
9,130,1,0,0,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,1
18,155,1,0,0,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0
42,78,1,0,0,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0
9,112,1,0,0,0,115.9,81,19.7,199.7,100,16.97,249.3,111,11.22,10.0,4,2.7,1
3,141,2,0,1,22,215.4,123,36.62,328.7,98,27.94,160.5,89,7.22,7.8,6,2.11,1
50,3,1,0,1,23,205.5,102,34.94,209.5,83,17.81,182.3,99,8.2,6.4,4,1.73,0
2,127,1,0,1,27,157.6,107,26.79,280.6,49,23.85,75.1,77,3.38,8.0,4,2.16,1
6,87,1,0,0,0,240.0,83,40.8,134.1,106,11.4,189.1,84,8.51,9.3,2,2.51,0
8,52,1,0,0,0,257.9,80,43.84,220.7,82,18.76,225.4,70,10.14,16.8,3,4.54,2
30,121,2,0,1,35,193.8,62,32.95,197.6,97,16.8,218.8,95,9.85,5.9,4,1.59,0
24,85,1,0,0,0,126.1,112,21.44,274.7,126,23.35,184.4,95,8.3,9.8,4,2.65,1
26,101,0,0,1,16,118.9,112,20.21,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2
11,161,0,0,0,0,165.4,88,28.12,209.7,111,17.82,270.7,129,12.18,10.5,3,2.84,4
12,83,0,1,0,0,197.6,105,33.59,177.5,96,15.09,126.8,100,5.71,9.2,1,2.48,3
35,69,1,0,0,0,244.8,76,41.62,77.2,100,6.56,222.8,102,10.03,10.0,3,2.7,0
45,86,1,0,0,0,231.9,73,39.42,165.9,123,14.1,225.7,86,10.16,11.5,3,3.11,3
30,59,1,0,0,0,163.5,107,27.8,187.1,91,15.9,179.1,100,8.06,10.3,1,2.78,2
49,63,1,0,0,0,147.8,95,25.13,201.4,72,17.12,154.9,118,6.97,8.6,8,2.32,1
28,182,1,0,0,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8.0,5,2.16,2
39,127,2,0,0,0,211.1,62,35.89,235.2,143,19.99,227.5,66,10.24,15.6,3,4.21,2
30,22,0,0,1,29,151.2,147,25.7,203.2,135,17.27,296.1,98,13.32,11.1,2,3.0,2
32,141,1,0,1,28,206.9,126,35.17,264.4,126,22.47,171.8,124,7.73,9.3,11,2.51,2
47,78,0,0,0,0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16,0
45,136,0,0,0,0,142.3,79,24.19,158.0,113,13.43,177.5,75,7.99,6.0,11,1.62,2
8,106,1,0,0,0,128.6,83,21.86,134.0,114,11.39,210.6,113,9.48,11.4,2,3.08,0
45,10,0,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2
24,45,2,0,1,29,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,2
0,141,0,0,0,0,83.2,74,14.14,190.6,104,16.2,150.5,79,6.77,10.7,7,2.89,1
32,232,0,0,0,0,165.6,104,28.15,195.9,115,16.65,118.3,77,5.32,11.8,3,3.19,1
44,52,0,0,0,0,288.2,108,48.99,129.6,136,11.02,229.6,73,10.33,9.6,5,2.59,4
5,132,1,0,0,0,197.8,66,33.63,133.9,119,11.38,177.3,94,7.98,10.9,3,2.94,4
46,48,1,0,0,0,197.7,64,33.61,136.7,126,11.62,244.4,81,11.0,13.2,5,3.56,4
49,3,0,0,0,0,182.9,87,31.09,172.1,103,14.63,233.1,89,10.49,12.1,3,3.27,4
22,157,1,0,1,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3
33,64,0,0,0,0,148.1,73,25.18,164.9,101,14.02,216.0,125,9.72,12.3,2,3.32,5
21,78,1,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3
35,96,1,0,0,0,106.6,128,18.12,284.8,87,24.21,178.9,92,8.05,14.9,7,4.02,1
12,42,1,0,0,0,155.4,127,26.42,164.1,45,13.95,157.7,128,7.1,9.0,3,2.43,0
32,119,1,1,1,15,160.0,95,27.2,209.5,110,17.81,82.3,107,3.7,8.7,5,2.35,5
39,114,1,0,1,23,186.2,95,31.65,258.3,129,21.96,183.9,93,8.28,7.8,6,2.11,0
33,148,1,0,0,0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2
7,138,1,0,0,0,149.7,99,25.45,160.0,97,13.6,256.5,161,11.54,9.5,5,2.57,1
37,80,2,0,0,0,203.7,92,34.63,216.4,97,18.39,154.2,66,6.94,7.6,5,2.05,2
15,81,0,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1
43,201,1,0,1,21,192.0,97,32.64,239.1,81,20.32,116.1,125,5.22,15.1,3,4.08,1
33,110,2,0,0,0,129.5,94,22.02,92.6,96,7.87,154.3,110,6.94,9.9,5,2.67,3
49,74,2,0,0,0,124.0,102,21.08,262.1,101,22.28,268.2,98,12.07,11.7,2,3.16,2
19,86,2,0,0,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0
22,73,0,0,1,19,179.4,108,30.5,93.6,90,7.96,234.6,99,10.56,14.9,4,4.02,2
46,101,1,0,0,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4
25,45,1,0,1,18,168.0,127,28.56,155.5,76,13.22,152.7,127,6.87,11.8,5,3.19,0
50,28,1,0,0,0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0
29,124,2,0,0,0,191.3,134,32.52,261.5,113,22.23,182.3,111,8.2,10.0,3,2.7,1
6,94,1,0,0,0,200.2,113,34.03,128.9,116,10.96,278.9,109,12.55,10.4,5,2.81,0
40,88,2,0,0,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4
49,111,2,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1
6,127,0,0,0,0,155.8,91,26.49,103.7,85,8.81,117.2,125,5.27,8.6,3,2.32,2
5,89,1,0,0,0,94.5,107,16.07,191.8,85,16.3,196.2,131,8.83,15.0,5,4.05,1
18,90,0,0,0,0,140.8,109,23.94,303.0,114,25.76,267.4,112,12.03,14.1,1,3.81,0
47,117,0,0,0,0,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,12.0,4,3.24,2
39,94,1,0,0,0,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0
45,54,0,0,0,0,197.7,84,33.61,221.3,89,18.81,189.4,109,8.52,7.8,3,2.11,2
23,152,1,1,1,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9
45,68,1,0,1,41,226.0,113,38.42,149.8,115,12.73,184.9,88,8.32,11.5,2,3.11,2
4,86,1,0,0,0,234.6,102,39.88,268.3,109,22.81,195.6,102,8.8,11.6,4,3.13,1
46,122,1,1,0,0,49.5,114,8.42,214.1,98,18.2,154.9,120,6.97,10.0,4,2.7,0
31,160,1,0,0,0,118.9,106,20.21,163.5,75,13.9,195.0,131,8.78,13.1,4,3.54,0
31,24,0,0,0,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2
41,140,1,0,0,0,191.8,67,32.61,261.1,52,22.19,252.7,112,11.37,10.8,3,2.92,6
49,113,2,0,0,0,72.5,88,12.33,204.0,112,17.34,117.9,118,5.31,6.6,3,1.78,1
28,101,1,0,0,0,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,0.0,0,0.0,3
7,103,2,0,1,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0
15,48,2,0,0,0,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94,2
5,101,1,0,1,39,147.2,105,25.02,168.8,96,14.35,165.3,118,7.44,13.0,4,3.51,1
40,111,1,0,1,21,127.1,94,21.61,228.3,116,19.41,166.7,108,7.5,7.1,3,1.92,1
28,71,2,0,0,0,238.0,82,40.46,278.5,94,23.67,193.1,134,8.69,11.8,10,3.19,0
21,69,2,0,0,0,194.2,122,33.01,242.1,81,20.58,215.8,80,9.71,9.7,3,2.62,2
38,108,2,0,1,25,170.7,88,29.02,109.9,113,9.34,165.7,99,7.46,8.7,1,2.35,3
38,119,0,0,0,0,287.1,115,48.81,159.3,99,13.54,216.8,86,9.76,13.9,1,3.75,2
5,156,0,0,0,0,150.5,106,25.59,152.9,112,13.0,215.9,86,9.72,3.5,3,0.95,1
25,29,2,0,0,0,313.2,103,53.24,216.3,151,18.39,218.4,106,9.83,12.8,4,3.46,2
42,70,2,0,0,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0
20,172,0,0,0,0,287.1,108,48.81,178.4,125,15.16,153.2,98,6.89,14.4,2,3.89,3
35,54,1,0,0,0,255.4,122,43.42,22.3,87,1.9,152.6,72,6.87,11.1,6,3.0,0
41,97,1,0,0,0,168.6,87,28.66,259.2,105,22.03,279.8,123,12.59,7.3,4,1.97,1
20,18,0,0,0,0,273.6,93,46.51,114.6,116,9.74,250.6,120,11.28,8.2,4,2.21,1
27,111,0,0,0,0,224.9,117,38.23,191.9,127,16.31,229.9,97,10.35,10.3,3,2.78,0
49,79,1,0,0,0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,3
26,73,1,0,1,33,129.8,112,22.07,225.3,96,19.15,262.5,104,11.81,8.6,3,2.32,1
39,129,2,0,1,10,161.4,91,27.44,183.1,102,15.56,240.3,65,10.81,12.9,3,3.48,1
23,72,0,0,1,31,221.4,124,37.64,313.4,96,26.64,175.9,94,7.92,11.8,1,3.19,3
19,85,1,0,0,0,274.7,79,46.7,119.4,122,10.15,296.9,74,13.36,9.4,10,2.54,1
36,97,1,0,0,0,151.6,107,25.77,155.4,96,13.21,240.0,112,10.8,14.7,4,3.97,1
37,89,1,0,0,0,111.2,101,18.9,122.1,94,10.38,180.8,85,8.14,12.6,2,3.4,3
17,75,1,0,0,0,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2
33,124,0,0,0,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1
19,132,1,0,0,0,117.6,66,19.99,214.0,108,18.19,239.5,94,10.78,8.8,5,2.38,1
44,76,1,0,0,0,212.5,124,36.13,215.5,110,18.32,128.0,94,5.76,5.2,9,1.4,3
31,125,1,0,0,0,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2
12,75,1,0,0,0,138.5,110,23.55,153.2,86,13.02,215.6,103,9.7,11.1,7,3.0,1
13,96,0,0,0,0,170.5,86,28.99,277.5,88,23.59,162.5,117,7.31,12.2,6,3.29,1
46,120,1,0,0,0,149.2,98,25.36,193.6,88,16.46,248.9,119,11.2,11.1,5,3.0,1
33,58,1,0,1,28,236.8,89,40.26,158.4,91,13.46,212.3,97,9.55,8.0,3,2.16,2
8,117,1,0,0,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0
46,100,2,0,0,0,254.2,97,43.21,262.0,88,22.27,256.3,82,11.53,13.6,6,3.67,0
19,17,1,1,0,0,162.8,118,27.68,229.6,91,19.52,332.7,94,14.97,13.6,3,3.67,0
13,109,1,0,0,0,184.1,143,31.3,211.7,105,17.99,243.0,116,10.93,9.9,2,2.67,1
22,142,1,1,0,0,140.8,140,23.94,228.6,119,19.43,152.9,88,6.88,10.9,7,2.94,1
33,138,0,0,0,0,180.5,82,30.69,242.4,103,20.6,244.4,89,11.0,10.3,7,2.78,2
5,57,1,0,0,0,85.9,92,14.6,193.9,127,16.48,231.5,93,10.42,10.1,2,2.73,0
50,37,2,0,1,33,225.7,133,38.37,223.9,115,19.03,192.7,131,8.67,11.2,5,3.02,3
7,108,2,1,1,36,153.8,105,26.15,246.2,62,20.93,150.9,125,6.79,11.1,4,3.0,1
1,111,2,0,0,0,176.4,62,29.99,201.0,124,17.09,150.4,138,6.77,11.2,2,3.02,0
47,100,0,0,0,0,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6
36,92,2,0,0,0,176.3,85,29.97,93.4,125,7.94,207.2,107,9.32,9.6,1,2.59,2
20,98,1,0,0,0,206.5,92,35.11,176.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5
45,149,0,0,1,28,212.8,117,36.18,159.9,86,13.59,222.7,88,10.02,0.0,0,0.0,1
5,36,1,1,0,0,245.0,119,41.65,195.5,91,16.62,165.7,87,7.46,7.8,7,2.11,1
20,73,2,0,0,0,254.7,80,43.3,90.2,79,7.67,153.4,60,6.9,10.6,8,2.86,0
29,194,0,0,0,0,48.4,101,8.23,281.1,138,23.89,218.5,87,9.83,18.2,1,4.91,1
2,93,1,0,0,0,131.9,91,22.42,203.8,92,17.32,205.6,121,9.25,6.8,3,1.84,1
1,69,0,0,1,27,188.4,104,32.03,320.6,128,27.25,161.7,120,7.28,9.7,7,2.62,1
38,59,2,0,0,0,189.1,141,32.15,198.2,113,16.85,280.2,103,12.61,2.2,7,0.59,1
35,132,1,0,1,10,182.9,54,31.09,292.4,68,24.85,142.3,116,6.4,11.5,4,3.11,0
44,80,1,0,1,33,189.4,109,32.2,148.7,68,12.64,208.9,119,9.4,11.2,4,3.02,1
11,79,1,0,0,0,41.9,124,7.12,211.0,95,17.94,237.9,55,10.71,11.4,5,3.08,1
38,69,1,0,0,0,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3
35,102,1,0,0,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12.0,4,3.24,0
37,48,1,0,0,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2
9,148,2,1,0,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2
50,62,1,0,0,0,238.9,102,40.61,161.4,115,13.72,248.5,103,11.18,13.4,4,3.62,0
32,102,2,0,1,18,144.4,76,24.55,160.7,97,13.66,200.8,101,9.04,9.3,4,2.51,0
32,21,1,0,1,19,132.7,94,22.56,204.6,101,17.39,154.7,78,6.96,12.9,7,3.48,3
16,120,2,0,0,0,158.0,110,26.86,197.0,103,16.75,154.9,132,6.97,10.0,5,2.7,1
12,158,1,0,0,0,158.0,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1
10,101,1,0,1,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0
37,170,0,0,1,22,173.6,66,29.51,142.2,83,12.09,156.5,93,7.04,5.2,3,1.4,1
